# Time(h), Volume(mL)
0.000000,1000.000000
0.048096,1000.000000
0.096192,1000.000000
0.144289,1001.250000
0.192385,1001.250000
0.240481,1001.250000
0.288577,1001.250000
0.336673,1002.019231
0.384770,1002.019231
0.432866,1003.557692
0.480962,1003.557692
0.529058,1003.557692
0.577154,1003.557692
0.625251,1003.557692
0.673347,1003.557692
0.721443,1003.557692
0.769539,1005.865385
0.817635,1005.865385
0.865731,1005.865385
0.913828,1005.865385
0.961924,1005.865385
1.010020,1005.865385
1.058116,1005.865385
1.106212,1005.865385
1.154309,1005.865385
1.202405,1005.865385
1.250501,1006.265385
1.298597,1006.265385
1.346693,1006.265385
1.394790,1006.265385
1.442886,1006.265385
1.490982,1006.265385
1.539078,1006.265385
1.587174,1006.265385
1.635271,1006.265385
1.683367,1010.142308
1.731463,1010.142308
1.779559,1010.142308
1.827655,1010.142308
1.875752,1010.142308
1.923848,1011.342308
1.971944,1011.342308
2.020040,1011.342308
2.068136,1011.342308
2.116232,1011.342308
2.164329,1012.342308
2.212425,1012.342308
2.260521,1012.342308
2.308617,1012.342308
2.356713,1012.342308
2.404810,1012.342308
2.452906,1012.342308
2.501002,1012.342308
2.549098,1017.188462
2.597194,1017.188462
2.645291,1017.188462
2.693387,1021.803846
2.741483,1021.803846
2.789579,1021.803846
2.837675,1021.803846
2.885772,1021.803846
2.933868,1021.803846
2.981964,1021.803846
3.030060,1027.188462
3.078156,1027.188462
3.126253,1027.188462
3.174349,1028.788462
3.222445,1028.788462
3.270541,1034.942308
3.318637,1034.942308
3.366733,1034.942308
3.414830,1034.942308
3.462926,1034.942308
3.511022,1034.942308
3.559118,1034.942308
3.607214,1034.942308
3.655311,1034.942308
3.703407,1034.942308
3.751503,1034.942308
3.799599,1034.942308
3.847695,1034.942308
3.895792,1036.942308
3.943888,1036.942308
3.991984,1029.942308
4.040080,1029.942308
4.088176,1029.942308
4.136273,1033.942308
4.184369,1033.942308
4.232465,1033.942308
4.280561,1033.942308
4.328657,1033.942308
4.376754,1033.942308
4.424850,1033.942308
4.472946,1033.942308
4.521042,1033.942308
4.569138,1033.942308
4.617234,1033.942308
4.665331,1033.942308
4.713427,1033.942308
4.761523,1035.942308
4.809619,1035.942308
4.857715,1035.942308
4.905812,1035.942308
4.953908,1035.942308
5.002004,1035.942308
5.050100,1035.942308
5.098196,1035.942308
5.146293,1035.942308
5.194389,1035.942308
5.242485,1035.942308
5.290581,1042.865385
5.338677,1042.865385
5.386774,1042.865385
5.434870,1050.557692
5.482966,1059.019231
5.531062,1061.419231
5.579158,1061.419231
5.627255,1061.419231
5.675351,1061.419231
5.723447,1061.419231
5.771543,1066.419231
5.819639,1066.419231
5.867735,1066.419231
5.915832,1066.419231
5.963928,1066.419231
6.012024,1066.419231
6.060120,1066.419231
6.108216,1066.419231
6.156313,1066.419231
6.204409,1066.419231
6.252505,1066.419231
6.300601,1066.419231
6.348697,1066.419231
6.396794,1066.419231
6.444890,1066.419231
6.492986,1066.419231
6.541082,1066.419231
6.589178,1075.650000
6.637275,1075.650000
6.685371,1085.650000
6.733467,1085.650000
6.781563,1091.650000
6.829659,1091.650000
6.877756,1091.650000
6.925852,1091.650000
6.973948,1091.650000
7.022044,1098.650000
7.070140,1101.450000
7.118236,1101.450000
7.166333,1101.450000
7.214429,1101.450000
7.262525,1101.450000
7.310621,1101.450000
7.358717,1101.450000
7.406814,1112.219231
7.454910,1120.219231
7.503006,1120.219231
7.551102,1120.219231
7.599198,1120.219231
7.647295,1120.219231
7.695391,1120.219231
7.743487,1123.419231
7.791583,1123.419231
7.839679,1123.419231
7.887776,1125.419231
7.935872,1125.419231
7.983968,1117.919231
8.032064,1117.919231
8.080160,1117.919231
8.128257,1117.919231
8.176353,1117.919231
8.224449,1117.919231
8.272545,1117.919231
8.320641,1117.919231
8.368737,1126.919231
8.416834,1126.919231
8.464930,1126.919231
8.513026,1126.919231
8.561122,1130.519231
8.609218,1130.519231
8.657315,1130.519231
8.705411,1130.519231
8.753507,1130.519231
8.801603,1130.519231
8.849699,1130.519231
8.897796,1130.519231
8.945892,1130.519231
8.993988,1130.519231
9.042084,1140.519231
9.090180,1140.519231
9.138277,1152.057692
9.186373,1152.057692
9.234469,1152.057692
9.282565,1156.057692
9.330661,1156.057692
9.378758,1156.057692
9.426854,1156.057692
9.474950,1156.057692
9.523046,1156.057692
9.571142,1156.057692
9.619238,1156.057692
9.667335,1172.765385
9.715431,1172.765385
9.763527,1172.765385
9.811623,1185.842308
9.859719,1185.842308
9.907816,1185.842308
9.955912,1185.842308
10.004008,1185.842308
10.052104,1185.842308
10.100200,1185.842308
10.148297,1185.842308
10.196393,1185.842308
10.244489,1185.842308
10.292585,1185.842308
10.340681,1185.842308
10.388778,1185.842308
10.436874,1196.842308
10.484970,1196.842308
10.533066,1196.842308
10.581162,1196.842308
10.629259,1200.592308
10.677355,1200.592308
10.725451,1200.592308
10.773547,1200.592308
10.821643,1212.592308
10.869739,1212.592308
10.917836,1217.392308
10.965932,1217.392308
11.014028,1217.392308
11.062124,1217.392308
11.110220,1217.392308
11.158317,1222.592308
11.206413,1222.592308
11.254509,1222.592308
11.302605,1222.592308
11.350701,1222.592308
11.398798,1222.592308
11.446894,1235.592308
11.494990,1235.592308
11.543086,1235.592308
11.591182,1235.592308
11.639279,1249.592308
11.687375,1249.592308
11.735471,1249.592308
11.783567,1249.592308
11.831663,1249.592308
11.879760,1249.592308
11.927856,1249.592308
11.975952,1249.592308
12.024048,1239.592308
12.072144,1239.592308
12.120240,1239.592308
12.168337,1254.592308
12.216433,1254.592308
12.264529,1254.592308
12.312625,1254.592308
12.360721,1254.592308
12.408818,1254.592308
12.456914,1254.592308
12.505010,1260.192308
12.553106,1260.192308
12.601202,1260.192308
12.649299,1260.192308
12.697395,1260.192308
12.745491,1260.192308
12.793587,1260.192308
12.841683,1260.192308
12.889780,1260.192308
12.937876,1274.038462
12.985972,1274.038462
13.034068,1274.038462
13.082164,1274.038462
13.130261,1280.038462
13.178357,1280.038462
13.226453,1280.038462
13.274549,1280.038462
13.322645,1280.038462
13.370741,1296.038462
13.418838,1296.038462
13.466934,1296.038462
13.515030,1296.038462
13.563126,1296.038462
13.611222,1296.038462
13.659319,1296.038462
13.707415,1296.038462
13.755511,1296.038462
13.803607,1296.038462
13.851703,1296.038462
13.899800,1296.038462
13.947896,1296.038462
13.995992,1296.038462
14.044088,1296.038462
14.092184,1296.038462
14.140281,1296.038462
14.188377,1296.038462
14.236473,1302.438462
14.284569,1302.438462
14.332665,1302.438462
14.380762,1302.438462
14.428858,1302.438462
14.476954,1302.438462
14.525050,1302.438462
14.573146,1302.438462
14.621242,1302.438462
14.669339,1302.438462
14.717435,1302.438462
14.765531,1302.438462
14.813627,1317.053846
14.861723,1317.053846
14.909820,1317.053846
14.957916,1317.053846
15.006012,1317.053846
15.054108,1317.053846
15.102204,1317.053846
15.150301,1317.053846
15.198397,1317.053846
15.246493,1317.053846
15.294589,1317.053846
15.342685,1317.053846
15.390782,1317.053846
15.438878,1317.053846
15.486974,1317.053846
15.535070,1317.053846
15.583166,1317.053846
15.631263,1317.053846
15.679359,1317.053846
15.727455,1317.053846
15.775551,1317.053846
15.823647,1317.053846
15.871743,1317.053846
15.919840,1317.053846
15.967936,1317.053846
16.016032,1307.053846
16.064128,1307.053846
16.112224,1313.853846
16.160321,1313.853846
16.208417,1313.853846
16.256513,1313.853846
16.304609,1313.853846
16.352705,1313.853846
16.400802,1313.853846
16.448898,1313.853846
16.496994,1313.853846
16.545090,1329.238462
16.593186,1329.238462
16.641283,1329.238462
16.689379,1329.238462
16.737475,1329.238462
16.785571,1329.238462
16.833667,1329.238462
16.881764,1329.238462
16.929860,1336.438462
16.977956,1336.438462
17.026052,1336.438462
17.074148,1336.438462
17.122244,1336.438462
17.170341,1344.038462
17.218437,1344.038462
17.266533,1344.038462
17.314629,1344.038462
17.362725,1344.038462
17.410822,1344.038462
17.458918,1344.038462
17.507014,1344.038462
17.555110,1361.038462
17.603206,1372.038462
17.651303,1372.038462
17.699399,1372.038462
17.747495,1372.038462
17.795591,1372.038462
17.843687,1372.038462
17.891784,1390.038462
17.939880,1390.038462
17.987976,1399.038462
18.036072,1399.038462
18.084168,1399.038462
18.132265,1399.038462
18.180361,1399.038462
18.228457,1399.038462
18.276553,1399.038462
18.324649,1399.038462
18.372745,1399.038462
18.420842,1399.038462
18.468938,1399.038462
18.517034,1399.038462
18.565130,1399.038462
18.613226,1419.038462
18.661323,1419.038462
18.709419,1419.038462
18.757515,1419.038462
18.805611,1419.038462
18.853707,1419.038462
18.901804,1419.038462
18.949900,1419.038462
18.997996,1419.038462
19.046092,1435.192308
19.094188,1435.192308
19.142285,1435.192308
19.190381,1435.192308
19.238477,1435.192308
19.286573,1435.192308
19.334669,1435.192308
19.382766,1435.192308
19.430862,1435.192308
19.478958,1435.192308
19.527054,1435.192308
19.575150,1435.192308
19.623246,1435.192308
19.671343,1435.192308
19.719439,1452.115385
19.767535,1452.115385
19.815631,1452.115385
19.863727,1473.115385
19.911824,1490.807692
19.959920,1490.807692
20.008016,1490.807692
20.056112,1490.807692
20.104208,1490.807692
20.152305,1490.807692
20.200401,1509.269231
20.248497,1509.269231
20.296593,1509.269231
20.344689,1509.269231
20.392786,1528.500000
20.440882,1528.500000
20.488978,1536.900000
20.537074,1536.900000
20.585170,1536.900000
20.633267,1536.900000
20.681363,1536.900000
20.729459,1536.900000
20.777555,1536.900000
20.825651,1536.900000
20.873747,1556.900000
20.921844,1556.900000
20.969940,1556.900000
21.018036,1556.900000
21.066132,1556.900000
21.114228,1556.900000
21.162325,1556.900000
21.210421,1578.900000
21.258517,1578.900000
21.306613,1587.700000
21.354709,1587.700000
21.402806,1587.700000
21.450902,1587.700000
21.498998,1596.900000
21.547094,1596.900000
21.595190,1596.900000
21.643287,1596.900000
21.691383,1596.900000
21.739479,1596.900000
21.787575,1596.900000
21.835671,1606.500000
21.883768,1606.500000
21.931864,1606.500000
21.979960,1596.500000
22.028056,1596.500000
22.076152,1596.500000
22.124248,1596.500000
22.172345,1596.500000
22.220441,1619.500000
22.268537,1619.500000
22.316633,1619.500000
22.364729,1619.500000
22.412826,1624.500000
22.460922,1624.500000
22.509018,1624.500000
22.557114,1624.500000
22.605210,1624.500000
22.653307,1624.500000
22.701403,1624.500000
22.749499,1624.500000
22.797595,1624.500000
22.845691,1624.500000
22.893788,1624.500000
22.941884,1624.500000
22.989980,1634.500000
23.038076,1634.500000
23.086172,1634.500000
23.134269,1634.500000
23.182365,1634.500000
23.230461,1634.500000
23.278557,1634.500000
23.326653,1634.500000
23.374749,1634.500000
23.422846,1658.500000
23.470942,1658.500000
23.519038,1658.500000
23.567134,1658.500000
23.615230,1658.500000
23.663327,1658.500000
23.711423,1658.500000
23.759519,1658.500000
23.807615,1658.500000
23.855711,1658.500000
23.903808,1683.500000
23.951904,1683.500000
24.000000,1683.500000
